,date,open,high,low,close,volume,tic,macd,rsi_30,cci_30,dx_30,daily_return
0,2010-05-04,7.2,7.3,7.06,7.11,6803622,AKBNK,0.0,0.0,-66.66666666666592,100.0,-0.007032348804500765
1,2010-05-05,7.16,7.16,7.01,7.06,7815922,AKBNK,-0.0011217948717945347,0.0,-66.66666666666592,100.0,-0.007032348804500765
2,2010-05-06,7.06,7.16,7.01,7.06,5596184,AKBNK,-0.0014293893281820402,0.0,-49.99999999999917,100.0,0.0
3,2010-05-07,6.87,7.06,6.67,6.72,13539946,AKBNK,-0.013809829114245886,0.0,-133.33333333333277,100.0,-0.04815864022662886
4,2010-05-10,7.06,7.2,7.01,7.16,11016524,AKBNK,-0.0027378306203447167,54.06524692299114,52.3809523809524,43.88755284834481,0.06547619047619047
5,2010-05-11,7.11,7.25,7.06,7.2,6873569,AKBNK,0.005679827549998073,56.28779652287109,78.94736842105273,29.966667358084713,0.005586592178770999
6,2010-05-12,7.25,7.69,7.16,7.59,12967563,AKBNK,0.028647977886595122,70.62392127410608,194.7963800904983,31.958253134237623,0.054166666666666696
7,2010-05-13,7.69,7.69,7.35,7.69,6211476,AKBNK,0.0483441872343926,72.97493153649663,152.0808080808083,31.95825313423762,0.013175230566534912
8,2010-05-14,7.64,7.74,7.35,7.35,6240908,AKBNK,0.04437922679947626,56.945380041499845,89.0703517587937,35.922698253560895,-0.044213263979193895
9,2010-05-17,7.3,7.64,7.25,7.59,4946275,AKBNK,0.05328316544004785,62.89672945768814,78.83597883597854,20.866769177540114,0.03265306122448974
10,2010-05-18,7.93,7.93,7.64,7.78,3767291,AKBNK,0.06909239875097484,66.66983355920549,133.5513456623063,41.09401280797014,0.02503293807641649
11,2010-05-20,7.59,7.69,7.4,7.4,5880589,AKBNK,0.058869182973456446,55.08095727575651,51.44175317185678,15.072805177503895,-0.04884318766066842
12,2010-05-21,7.4,7.54,7.2,7.3,7353407,AKBNK,0.04485762840348961,52.59225246432194,9.80701754385954,1.1645103756304014,-0.013513513513513598
13,2010-05-24,7.45,7.59,7.3,7.45,5361711,AKBNK,0.04248061182746543,55.69829142993377,37.9742866102222,2.5116785951903133,0.020547945205479534
14,2010-05-25,7.25,7.4,6.96,7.06,9934880,AKBNK,0.01700274197260576,47.35365060009313,-52.86676749621866,18.90828536873909,-0.05234899328859066
15,2010-05-26,7.2,7.59,6.96,7.59,21790712,AKBNK,0.029600910648513334,56.512914930800356,20.9878105360832,5.713178776364853,0.07507082152974509
16,2010-05-27,7.45,7.54,7.4,7.45,5177398,AKBNK,0.030177588350489337,53.948168358986614,46.267799724391324,5.7131787763648525,-0.01844532279314881
17,2010-05-28,7.59,7.69,7.45,7.69,5555561,AKBNK,0.045380730615282694,57.3784695372063,89.1355259138579,3.9064854603532,0.03221476510067123
18,2010-05-31,7.45,7.59,7.45,7.54,3106752,AKBNK,0.04689019262103589,54.742078065880136,59.30153427369425,3.906485460353199,-0.01950585175552666
19,2010-06-01,7.49,7.54,7.3,7.45,5633179,AKBNK,0.0416211786350722,53.224173826282765,26.467868700878086,5.880272230419048,-0.011936339522546358
20,2010-06-02,7.49,7.64,7.4,7.64,6163473,AKBNK,0.04962161049403413,55.89499794418152,68.73413705583697,0.7796530761497656,0.025503355704697972
21,2010-06-03,7.78,7.93,7.69,7.74,5288174,AKBNK,0.061931998480494244,57.22479562584207,137.27472733230297,16.96984046471058,0.01308900523560208
22,2010-06-04,7.74,7.78,7.54,7.64,4143317,AKBNK,0.06395127609157392,55.493917978056665,87.6611182244982,7.290017645567848,-0.012919896640826933
23,2010-06-07,7.49,7.59,7.45,7.49,3484681,AKBNK,0.05445273790970884,53.006078743760035,38.38420323881754,1.882380524542831,-0.01963350785340312
24,2010-06-08,7.54,7.64,7.4,7.45,2872450,AKBNK,0.0436458393029211,52.35855372159336,33.25553151922247,1.882380524542836,-0.005340453938584733
25,2010-06-09,7.49,7.54,7.3,7.45,5466723,AKBNK,0.03472172095208226,52.35855372159336,9.497846355160226,4.245261432866203,0.0
26,2010-06-10,7.45,7.69,7.35,7.64,4938931,AKBNK,0.0408304401390609,55.14398041967299,56.1719833564488,4.923726547202945,0.025503355704697972
27,2010-06-11,7.69,7.74,7.54,7.64,4016102,AKBNK,0.04511769644550956,55.14398041967299,83.55999807775443,7.812926184638948,0.0
28,2010-06-14,7.74,7.88,7.64,7.78,4889175,AKBNK,0.05803018401111437,57.1208321347006,125.76936184083732,15.49874734783402,0.01832460732984309
29,2010-06-15,7.74,7.93,7.64,7.93,4639053,AKBNK,0.07833145857155976,59.11781325513296,142.54359224484753,18.10538843733851,0.019280205655527016
30,2010-06-16,7.98,7.98,7.78,7.78,3033964,AKBNK,0.08230921191798757,56.40053513457066,140.74074074074056,20.719640134702253,-0.018915510718789386
31,2010-06-17,7.78,8.07,7.74,7.83,10027087,AKBNK,0.08814555765429866,57.08078660077054,146.89241682148216,25.30745147216634,0.006426735218509005
32,2010-06-18,7.88,7.98,7.83,7.88,4504065,AKBNK,0.09539161806505625,57.76251229503786,142.971853604935,25.307451472166324,0.0063856960408683605
33,2010-06-21,8.03,8.07,7.93,8.07,5327281,AKBNK,0.11410407879671691,60.244835447209205,180.27034052508327,29.940174944250497,0.02411167512690371
34,2010-06-22,7.93,8.07,7.88,7.98,5500266,AKBNK,0.12068702935042808,58.55843063068983,147.60694620923246,25.323976633457,-0.01115241635687736
35,2010-06-23,7.93,7.98,7.69,7.78,5031531,AKBNK,0.10940669953070525,55.017988786918245,79.98444386829077,9.5195115492688,-0.02506265664160401
36,2010-06-24,7.78,7.83,7.59,7.64,6633406,AKBNK,0.08874833027826323,52.71026140719293,26.893165920840193,2.2638367082286277,-0.01799485861182526
37,2010-06-25,7.69,7.74,7.54,7.59,7344202,AKBNK,0.06777108482471839,51.90588081615741,1.530389156098535,1.2334395809336,-0.00654450261780104
38,2010-06-28,7.64,7.78,7.59,7.74,4315114,AKBNK,0.061994373012578485,54.08061885501176,30.372594031431003,1.643074400203273,0.01976284584980248
39,2010-06-29,7.74,7.74,7.49,7.54,4701250,AKBNK,0.041483085146628795,50.90562600564955,-16.227636429021985,5.530533938454192,-0.025839793281653756
40,2010-06-30,7.49,7.59,7.35,7.4,8679145,AKBNK,0.01422178752055192,48.82972484037618,-69.756975697571,14.555314599601985,-0.018567639257294433
41,2010-07-01,7.35,7.45,7.25,7.3,5271527,AKBNK,-0.0149699826128451,47.40139907130509,-110.05849995634482,20.36415504312375,-0.013513513513513598
42,2010-07-02,7.4,7.69,7.4,7.64,7463755,AKBNK,-0.011446589441737487,52.30810210254002,-18.231540565178797,2.4887627922096427,0.046575342465753344
43,2010-07-05,7.64,7.78,7.59,7.69,3135695,AKBNK,-0.00469283306942625,52.975453450408494,24.090782252812783,3.2698169161731765,0.00654450261780104
44,2010-07-06,7.74,7.88,7.69,7.88,6801893,AKBNK,0.01536679123375162,55.42725957794675,73.33333333333219,9.321349379180417,0.024707412223667014
45,2010-07-07,7.78,7.93,7.69,7.88,3624898,AKBNK,0.03089929033290595,55.42725957794674,75.07763197435504,12.255333673030872,0.0
46,2010-07-08,7.93,8.03,7.88,7.93,4939572,AKBNK,0.046598978057014406,56.07226481273307,116.88823239783228,17.93232899332386,0.006345177664974555
47,2010-07-09,7.98,8.03,7.74,7.88,5721049,AKBNK,0.054464603164062986,55.24525222355075,82.40022968705047,7.521509996078191,-0.006305170239596425
48,2010-07-12,7.88,7.93,7.78,7.93,2059808,AKBNK,0.06390549455884109,55.91784179352135,75.50942677585185,7.521509996078191,0.006345177664974555
49,2010-07-13,7.93,8.17,7.88,8.07,5782065,AKBNK,0.0815163962262373,57.75670770003619,133.5682405449848,21.15579577410646,0.017654476670870167
50,2010-07-14,8.17,8.32,8.17,8.27,6039895,AKBNK,0.11004044717911743,60.20966519184903,200.48415492957685,28.225563827254984,0.024783147459727317
51,2010-07-15,8.22,8.41,8.03,8.03,9468799,AKBNK,0.11230428828851924,56.16135011024878,147.23572546757822,17.696285170228006,-0.029020556227327687
52,2010-07-16,8.07,8.22,7.98,8.03,2777461,AKBNK,0.11279445004440625,56.16135011024878,108.94055608820678,14.118727950127175,0.0
53,2010-07-19,7.98,8.22,7.98,8.12,3071162,AKBNK,0.11896499326051302,57.31315762062289,112.78315856879863,14.118727950127182,0.011207970112079746
54,2010-07-20,8.17,8.27,8.03,8.17,3033197,AKBNK,0.12637465908308698,57.94813571228809,124.34183880113365,17.001571630860706,0.006157635467980427
55,2010-07-21,8.22,8.41,8.17,8.36,4776463,AKBNK,0.14570335582222604,60.27127976290993,169.58358479179233,24.57923464516472,0.023255813953488413
56,2010-07-22,8.32,8.46,8.22,8.27,11176672,AKBNK,0.1520842826924751,58.682685352368246,156.4641744548294,27.119518889546086,-0.010765550239234423
57,2010-07-23,8.27,8.32,8.12,8.22,6331366,AKBNK,0.15140074582016272,57.80702837331528,113.20036540803859,18.580676550833097,-0.006045949214026458
58,2010-07-26,8.27,8.27,8.03,8.07,5268434,AKBNK,0.13728994413973883,55.248506758788366,74.18000817205892,11.382695742669437,-0.018248175182481785
59,2010-07-27,8.12,8.22,8.07,8.07,5153753,AKBNK,0.12466906808254397,55.248506758788366,67.94538361508445,11.382695742669442,0.0
60,2010-07-28,8.17,8.17,7.88,7.98,10457714,AKBNK,0.1062409633414152,53.72179611302617,30.244252873563536,2.8440236160859365,-0.01115241635687736
61,2010-07-29,7.98,8.12,7.98,8.12,4953021,AKBNK,0.10167256109059597,55.692069270003884,47.803982488349035,2.844023616085935,0.01754385964912264
62,2010-07-30,8.03,8.12,7.88,8.07,4999554,AKBNK,0.09297413148948763,54.82962616252869,30.298789447903964,9.77490073822534,-0.006157635467980205
63,2010-08-02,8.17,8.27,8.07,8.22,3659575,AKBNK,0.09698417076073262,56.900955947064446,78.27098805571786,1.4929467791281366,0.018587360594795488
64,2010-08-03,8.17,8.27,7.88,7.93,8421509,AKBNK,0.07602992561105992,52.120854757585654,28.285850275379048,10.891661935749559,-0.03527980535279818
65,2010-08-04,7.93,8.03,7.78,7.78,8361055,AKBNK,0.04685023922955267,49.87878109315828,-22.347134631203563,16.616172349795796,-0.018915510718789386
66,2010-08-05,7.78,7.88,7.59,7.69,9418954,AKBNK,0.016314931964318546,48.58164637417772,-67.29642143004894,26.240203356120894,-0.011568123393316143
67,2010-08-06,7.74,7.83,7.49,7.59,11468602,AKBNK,-0.015730852319998156,47.17160879455086,-93.51026332158385,30.737810301349803,-0.013003901170351218
68,2010-08-09,7.64,7.74,7.59,7.64,7588085,AKBNK,-0.036686692764774875,47.95296260406964,-86.0981628735947,30.73781030134981,0.006587615283267345
69,2010-08-10,7.64,7.69,7.59,7.69,4096966,AKBNK,-0.04871412756054383,48.73730384261406,-87.80690803162726,30.737810301349818,0.00654450261780104
70,2010-08-11,7.59,7.59,7.45,7.54,7847345,AKBNK,-0.06950004623298511,46.559772585297296,-131.06796116504884,37.2781427103943,-0.01950585175552666
71,2010-08-12,7.54,7.69,7.49,7.69,6576839,AKBNK,-0.07306982312528465,48.920640018232,-109.07271514342872,28.045945047023217,0.019893899204244114
72,2010-08-13,7.78,7.78,7.64,7.69,3289831,AKBNK,-0.07503337297523238,48.920640018232,-85.72836884810805,20.26471708469988,0.0
73,2010-08-16,7.74,7.78,7.64,7.74,2172845,AKBNK,-0.07174004864772243,49.71311093354057,-80.9109636072329,20.26471708469988,0.006501950585175553
74,2010-08-17,7.78,7.93,7.74,7.88,5522357,AKBNK,-0.05720619354127976,51.875745727845235,-36.88493129653814,7.789839934651144,0.018087855297157507
75,2010-08-18,7.88,7.98,7.78,7.88,6625497,AKBNK,-0.04516747067818905,51.875745727845235,-27.293844367014735,3.9478519363360545,0.0
76,2010-08-19,7.88,7.93,7.69,7.74,4165829,AKBNK,-0.04636119065205069,49.59331266936598,-56.28242725016917,10.112571621015912,-0.017766497461928932
77,2010-08-20,7.69,7.74,7.54,7.69,7662704,AKBNK,-0.05074732893997336,48.80004609704353,-93.87416022538467,19.336115722599523,-0.006459948320413411
78,2010-08-23,7.69,7.74,7.59,7.69,2162023,AKBNK,-0.05360514957672535,48.80004609704353,-83.23453518376466,19.33611572259952,0.0
79,2010-08-24,7.64,7.69,7.45,7.59,8810112,AKBNK,-0.0631945488958845,47.18467066828284,-104.45561139028464,27.292937658275857,-0.013003901170351218
80,2010-08-25,7.54,7.64,7.4,7.49,8237045,AKBNK,-0.07794971964806674,45.622405752272996,-116.49999999999964,29.931626666207556,-0.013175230566534912
81,2010-08-26,7.49,7.69,7.49,7.59,5695822,AKBNK,-0.08065747849510707,47.42322831990504,-87.15289394446283,25.07918472392149,0.013351134846461887
82,2010-08-27,7.64,7.78,7.64,7.74,9775848,AKBNK,-0.0699123787824778,49.993009641886786,-45.007795024740844,16.693683581069337,0.01976284584980248
83,2010-08-31,7.69,7.83,7.64,7.83,6572871,AKBNK,-0.05352800500074917,51.465417272697884,-28.140492982334106,12.225542425909715,0.011627906976744207
84,2010-09-01,7.83,7.93,7.69,7.88,8347409,AKBNK,-0.0360980718692101,52.27304609743259,-4.015768338061776,3.7338596064746152,0.0063856960408683605
85,2010-09-02,7.88,7.93,7.74,7.88,5859011,AKBNK,-0.02203090677336572,52.27304609743259,7.2551390568311325,3.733859606474625,0.0
86,2010-09-03,7.93,7.93,7.78,7.93,4234601,AKBNK,-0.006774655192310242,53.1080817593887,25.578938099849708,3.733859606474612,0.006345177664974555
87,2010-09-06,7.88,7.93,7.78,7.88,1889432,AKBNK,0.0012709368147971745,52.16394481967585,25.61660794209999,3.733859606474616,-0.006305170239596425
88,2010-09-07,7.88,7.93,7.83,7.88,3358484,AKBNK,0.007559896123867205,52.16394481967585,38.36845820308513,3.7338596064746223,0.0
