,date,account_value
0,2019-01-02,1000000.0
1,2019-01-03,997598.187587482
2,2019-01-04,1002902.3328845019
3,2019-01-07,1004127.8279111929
4,2019-01-08,1006158.6755497844
5,2019-01-09,1007144.4883775695
6,2019-01-10,1008815.9111065022
7,2019-01-11,1010361.5417557339
8,2019-01-14,1009000.9043387936
9,2019-01-15,1018596.1505103526
10,2019-01-16,1027386.8908482611
11,2019-01-17,1030148.7679162817
12,2019-01-18,1043836.3928350862
13,2019-01-22,1036261.4119820666
14,2019-01-23,1042968.4855751438
15,2019-01-24,1043256.9496404084
16,2019-01-25,1047016.6425631027
17,2019-01-28,1035217.9461069945
18,2019-01-29,1033345.2437395673
19,2019-01-30,1045020.5403426612
20,2019-01-31,1041301.4884910999
21,2019-02-01,1037270.588491975
22,2019-02-04,1041932.8736709185
23,2019-02-05,1044199.9649034549
24,2019-02-06,1044312.1250954564
25,2019-02-07,1037465.9544876773
26,2019-02-08,1029374.9698669745
27,2019-02-11,1023796.0527198017
28,2019-02-12,1040155.0694499159
29,2019-02-13,1043801.0177383294
30,2019-02-14,1043630.0051855586
31,2019-02-15,1062521.531293384
32,2019-02-19,1062183.1941559743
33,2019-02-20,1063543.9758582246
34,2019-02-21,1060057.1197969902
35,2019-02-22,1068349.9365023666
36,2019-02-25,1068737.6310271453
37,2019-02-26,1069231.8817022769
38,2019-02-27,1061609.956336721
39,2019-02-28,1053793.0491065355
40,2019-03-01,1063703.220256198
41,2019-03-04,1047560.8810064599
42,2019-03-05,1050953.2982593873
43,2019-03-06,1043033.5792326108
44,2019-03-07,1038035.3754991589
45,2019-03-08,1037356.1146756232
46,2019-03-11,1042199.1360019711
47,2019-03-12,1037207.6111478712
48,2019-03-13,1048590.9761017151
49,2019-03-14,1048694.4229771148
50,2019-03-15,1051798.0099777607
51,2019-03-18,1060209.8898667772
52,2019-03-19,1060707.3331077516
53,2019-03-20,1051930.0659969605
54,2019-03-21,1059645.456467131
55,2019-03-22,1032779.1365218359
56,2019-03-25,1036148.5104172371
57,2019-03-26,1038823.5067491244
58,2019-03-27,1034503.2315825635
59,2019-03-28,1037625.0423868448
60,2019-03-29,1047356.4146811091
61,2019-04-01,1056810.3044673793
62,2019-04-02,1054141.274074148
63,2019-04-03,1055169.3241167692
64,2019-04-04,1064473.2338828547
65,2019-04-05,1067013.569083884
66,2019-04-08,1062569.1341543272
